,abv,ibu,name,style,ounces
1704,0.08,35.0,Black Raspberry Nectar,Mead,16.0
1705,0.05,16.0,Blood Orange Wit,Witbier,16.0
1706,0.05,40.0,Consilium,American Pale Ale (APA),12.0
1707,0.09,60.0,Hammer & Sickle,Russian Imperial Stout,12.0
1708,0.07,100.0,Redacted Rye IPA,American IPA,16.0
1709,0.099,100.0,Elevation Triple India Pale Ale,American Double / Imperial IPA,12.0
1710,0.05,25.0,5:00 O'Clock Afternoon Ale,American Blonde Ale,16.0
1711,0.07,100.0,Ryeteous Rye IPA (2012),American IPA,16.0
1712,0.064,35.0,Stout Ol' Friend,American Stout,16.0
1713,0.064,35.0,Stout Ol' Friend (2012),American Stout,16.0
1714,0.056,35.0,Rye Porter,American Porter,16.0
1715,0.05,35.0,Miner's Gold,American Blonde Ale,16.0
1716,0.046,35.0,Vienna Lager,Vienna Lager,16.0
1717,0.056,35.0,Jessie's Garage,American Pale Ale (APA),16.0
1718,0.062,35.0,Colorado Red Ale,American Amber / Red Ale,12.0
1719,0.056,35.0,Miner's Gold,American Blonde Ale,12.0
1720,0.055,40.0,Fist City,American Pale Ale (APA),12.0
1721,0.068,35.0,A Little Crazy,Belgian Pale Ale,12.0
1722,0.058,15.0,Rosa Hibiscus Ale,Herbed / Spiced Beer,12.0
1723,0.061,31.0,Fistmas Ale,Herbed / Spiced Beer,12.0
1724,0.057,25.0,Oktoberfest Revolution,Märzen / Oktoberfest,12.0
1725,0.068,28.0,Eugene Porter,American Porter,12.0
1726,0.065,70.0,Anti-Hero IPA,American IPA,12.0
1727,0.05,14.0,Bottom Up Belgian Wit,Witbier,12.0
1728,0.057,42.0,Hustle,American Amber / Red Ale,12.0
1729,0.055,42.0,Pure Fury,American Pale Ale (APA),12.0
1730,0.06,60.0,Dad,American Amber / Red Ale,12.0
1731,0.058,35.0,Panther,American Porter,12.0
1732,0.052,21.0,Franz,Märzen / Oktoberfest,12.0
1733,0.043,45.0,Zen,American Pale Ale (APA),12.0
1734,0.072,75.0,Truth,American IPA,12.0
1735,0.048,25.0,Cougar,American Blonde Ale,12.0
1736,0.038,35.0,Smooth Operator,Cream Ale,16.0
1737,0.035,35.0,Gose,Gose,16.0
1738,0.043,35.0,Maine Island Trail Ale,American Pale Ale (APA),16.0
1739,0.05,35.0,River North White Ale,Witbier,16.0
1740,0.05,35.0,River North Ale,American Amber / Red Ale,16.0
1741,0.05,55.0,Lil SIPA,American IPA,16.0
1742,0.055,60.0,Hop Bomber Rye Pale Ale,American Pale Ale (APA),16.0
1743,0.05,100.0,Jah Mon,American IPA,12.0
1744,0.062,35.0,Oktoberfest,Märzen / Oktoberfest,12.0
1745,0.08,35.0,Headless Wylie,Pumpkin Ale,12.0
1746,0.05,35.0,Dayman IPA,American IPA,12.0
1747,0.071,35.0,All Aboard! Anniversary Stout,Oatmeal Stout,12.0
1748,0.062,35.0,Hop Lace,American White IPA,12.0
1749,0.048,35.0,OH-PA Session Pale Ale,American Pale Ale (APA),12.0
1750,0.08,35.0,Patrick's Poison,American Amber / Red Ale,12.0
1751,0.081,35.0,Rudolph's Red,American Amber / Red Ale,12.0
1752,0.053,35.0,Babbling Blonde,American Blonde Ale,12.0
1753,0.051,35.0,Maxwell's Scottish Ale,Scottish Ale,12.0
1754,0.061,35.0,Grateful White,Witbier,12.0
1755,0.055,35.0,RT Lager,American Amber / Red Lager,12.0
1756,0.062,35.0,Old Wylie's IPA,American IPA,12.0
1757,0.048,35.0,Hala Kahiki Pineapple Beer,Fruit / Vegetable Beer,12.0
1758,0.045,35.0,Track 1 Amber Lager,American Amber / Red Lager,16.0
1759,0.053,35.0,Pine Knob Pilsner,Czech Pilsener,16.0
1760,0.056,35.0,Cal and Co. Black Cherry Porter,American Porter,16.0
1761,0.055,35.0,Lazy Daze Lager,American Adjunct Lager,16.0
1762,0.059,35.0,Rochester Red Ale,American Amber / Red Ale,16.0
1763,0.05,35.0,Milkshake Stout,Milk / Sweet Stout,16.0
1764,0.07,35.0,Cornerstone IPA,American IPA,16.0
1765,0.055,35.0,Lazy Daze Lager,American Adjunct Lager,12.0
1766,0.051,35.0,Rogue American Amber Ale,American Amber / Red Ale,16.0
1767,0.076,78.0,12th Round,American Strong Ale,16.0
1768,0.07,80.0,RoughTail IPA,American IPA,16.0
1769,0.08,35.0,Polar Night Stout,American Stout,16.0
1770,0.071,36.0,Sundown,Saison / Farmhouse Ale,12.0
1771,0.099,35.0,Sanctified,Belgian Strong Pale Ale,12.0
1772,0.051,35.0,Fear of a Brett Planet,American Pale Ale (APA),12.0
1773,0.056,40.0,Original Slacker Ale,English Brown Ale,12.0
1774,0.072,35.0,Alpha Blackback,American Black Ale,12.0
1775,0.063,35.0,Kiss Off IPA,American IPA,12.0
1776,0.045,28.0,Dog Days Summer Ale,Kölsch,12.0
1777,0.056,35.0,1881 California Red,American Amber / Red Ale,12.0
1778,0.073,55.0,CAPT Black IPA,American Black Ale,12.0
1779,0.048,42.0,Ruhstaller's Gilt Edge Lager Beer,American Amber / Red Lager,12.0
1780,0.073,55.0,CAPT Black IPA,American Black Ale,16.0
1781,0.056,35.0,1881 California Red Ale,American Amber / Red Ale,16.0
1782,0.05,15.0,Saint Archer White Ale,Witbier,12.0
1783,0.068,66.0,Saint Archer IPA,American IPA,12.0
1784,0.052,40.0,Saint Archer Pale Ale,American Pale Ale (APA),12.0
1785,0.048,22.0,Saint Archer Blonde,Kölsch,12.0
1786,0.069,20.0,Sex Panther,American Porter,12.0
